State,CityName,RegionCode,CountryCode
Alabama,Abbeville,US-AL,US
Alabama,Adamsville,US-AL,US
Alabama,Addison,US-AL,US
Alabama,Adger,US-AL,US
Alabama,Alabaster,US-AL,US
Alabama,Albertville,US-AL,US
Alabama,Alexander City,US-AL,US
Alabama,Alexandria,US-AL,US
Alabama,Allgood,US-AL,US
Alabama,Alpine,US-AL,US
Alabama,Andalusia,US-AL,US
Alabama,Anniston,US-AL,US
Alabama,Arab,US-AL,US
Alabama,Arlington,US-AL,US
Alabama,Ashford,US-AL,US
Alabama,Ashland,US-AL,US
Alabama,Ashville,US-AL,US
Alabama,Athens,US-AL,US
Alabama,Atmore,US-AL,US
Alabama,Attalla,US-AL,US
Alabama,Auburn,US-AL,US
Alabama,Auburn University,US-AL,US
Alabama,Autaugaville,US-AL,US
Alabama,Axis,US-AL,US
Alabama,Bay Minette,US-AL,US
Alabama,Berry,US-AL,US
Alabama,Bessemer,US-AL,US
Alabama,Birmingham,US-AL,US
Alabama,Blountsville,US-AL,US
Alabama,Boaz,US-AL,US
Alabama,Bremen,US-AL,US
Alabama,Brewton,US-AL,US
Alabama,Brookwood,US-AL,US
Alabama,Brownsboro,US-AL,US
Alabama,Bucks,US-AL,US
Alabama,Buhl,US-AL,US
Alabama,Butler,US-AL,US
Alabama,Calera,US-AL,US
Alabama,Calhoun County,US-AL,US
Alabama,Camden,US-AL,US
Alabama,Carrollton,US-AL,US
Alabama,Centre,US-AL,US
Alabama,Centreville,US-AL,US
Alabama,Chapman,US-AL,US
Alabama,Chelsea,US-AL,US
Alabama,Cherokee,US-AL,US
Alabama,Childersburg,US-AL,US
Alabama,Clanton,US-AL,US
Alabama,Clayton,US-AL,US
Alabama,Clio,US-AL,US
Alabama,Coffeeville,US-AL,US
Alabama,Columbia,US-AL,US
Alabama,Columbiana,US-AL,US
Alabama,Cottondale,US-AL,US
Alabama,Cottonwood,US-AL,US
Alabama,Cowarts,US-AL,US
Alabama,Creola,US-AL,US
Alabama,Crossville,US-AL,US
Alabama,Cullman,US-AL,US
Alabama,Daleville,US-AL,US
Alabama,Daphne,US-AL,US
Alabama,Dauphin Island,US-AL,US
Alabama,Deatsville,US-AL,US
Alabama,Decatur,US-AL,US
Alabama,Demopolis,US-AL,US
Alabama,Dixons Mills,US-AL,US
Alabama,Dothan,US-AL,US
Alabama,Eastaboga,US-AL,US
Alabama,Eclectic,US-AL,US
Alabama,Eight Mile,US-AL,US
Alabama,Elba,US-AL,US
Alabama,Elberta,US-AL,US
Alabama,Enterprise,US-AL,US
Alabama,Eufaula,US-AL,US
Alabama,Eutaw,US-AL,US
Alabama,Evergreen,US-AL,US
Alabama,Excel,US-AL,US
Alabama,Fairfield,US-AL,US
Alabama,Fairhope,US-AL,US
Alabama,Fayette,US-AL,US
Alabama,Florence,US-AL,US
Alabama,Foley,US-AL,US
Alabama,Fruitdale,US-AL,US
Alabama,Ft Deposit,US-AL,US
Alabama,Ft Payne,US-AL,US
Alabama,Ft Rucker,US-AL,US
Alabama,Fulton,US-AL,US
Alabama,Fultondale,US-AL,US
Alabama,Gadsden,US-AL,US
Alabama,Gardendale,US-AL,US
Alabama,Geneva,US-AL,US
Alabama,Glenwood,US-AL,US
Alabama,Goodwater,US-AL,US
Alabama,Gordo,US-AL,US
Alabama,Grand Bay,US-AL,US
Alabama,Graysville,US-AL,US
Alabama,Greensboro,US-AL,US
Alabama,Greenville,US-AL,US
Alabama,Grove Hill,US-AL,US
Alabama,Guin,US-AL,US
Alabama,Gulf Shores,US-AL,US
Alabama,Guntersville,US-AL,US
Alabama,Haleyville,US-AL,US
Alabama,Hamilton,US-AL,US
Alabama,Hanceville,US-AL,US
Alabama,Hartselle,US-AL,US
Alabama,Hatchechubbee,US-AL,US
Alabama,Hayden,US-AL,US
Alabama,Hayneville,US-AL,US
Alabama,Hazel Green,US-AL,US
Alabama,Headland,US-AL,US
Alabama,Heflin,US-AL,US
Alabama,Helena,US-AL,US
Alabama,Hodges,US-AL,US
Alabama,Hope Hull,US-AL,US
Alabama,Huntsville,US-AL,US
Alabama,Huxford,US-AL,US
Alabama,Ider,US-AL,US
Alabama,Jack,US-AL,US
Alabama,Jackson,US-AL,US
Alabama,Jacksonville,US-AL,US
Alabama,Jasper,US-AL,US
Alabama,Jefferson,US-AL,US
Alabama,Kellyton,US-AL,US
Alabama,Killen,US-AL,US
Alabama,Laceys Spring,US-AL,US
Alabama,Lafayette,US-AL,US
Alabama,Lanett,US-AL,US
Alabama,Leeds,US-AL,US
Alabama,Leesburg,US-AL,US
Alabama,Lillian,US-AL,US
Alabama,Lincoln,US-AL,US
Alabama,Linden,US-AL,US
Alabama,Lineville,US-AL,US
Alabama,Livingston,US-AL,US
Alabama,Loachapoka,US-AL,US
Alabama,Locust Fork,US-AL,US
Alabama,Loxley,US-AL,US
Alabama,Luverne,US-AL,US
Alabama,Madison,US-AL,US
Alabama,Marion,US-AL,US
Alabama,Mathews,US-AL,US
Alabama,Millport,US-AL,US
Alabama,Millry,US-AL,US
Alabama,Mobile,US-AL,US
Alabama,Monroeville,US-AL,US
Alabama,Montevallo,US-AL,US
Alabama,Montgomery,US-AL,US
Alabama,Montrose,US-AL,US
Alabama,Morris,US-AL,US
Alabama,Moulton,US-AL,US
Alabama,Munford,US-AL,US
Alabama,Muscle Shoals,US-AL,US
Alabama,New Brockton,US-AL,US
Alabama,New Market,US-AL,US
Alabama,Newton,US-AL,US
Alabama,Newville,US-AL,US
Alabama,Normal,US-AL,US
Alabama,Northport,US-AL,US
Alabama,Notasulga,US-AL,US
Alabama,Oakman,US-AL,US
Alabama,Oneonta,US-AL,US
Alabama,Opelika,US-AL,US
Alabama,Opp,US-AL,US
Alabama,Orange Beach,US-AL,US
Alabama,Oxford,US-AL,US
Alabama,Ozark,US-AL,US
Alabama,Paint Rock,US-AL,US
Alabama,Pelham,US-AL,US
Alabama,Pell City,US-AL,US
Alabama,Pennington,US-AL,US
Alabama,Perdue Hill,US-AL,US
Alabama,Phenix City,US-AL,US
Alabama,Piedmont,US-AL,US
Alabama,Pike Road,US-AL,US
Alabama,Pine Hill,US-AL,US
Alabama,Pinson,US-AL,US
Alabama,Pleasant Grove,US-AL,US
Alabama,Prattville,US-AL,US
Alabama,Quinton,US-AL,US
Alabama,Ragland,US-AL,US
Alabama,Rainbow City,US-AL,US
Alabama,Rainsville,US-AL,US
Alabama,Ramer,US-AL,US
Alabama,Red Bay,US-AL,US
Alabama,Reform,US-AL,US
Alabama,Roanoke,US-AL,US
Alabama,Robertsdale,US-AL,US
Alabama,Russellville,US-AL,US
Alabama,Rutledge,US-AL,US
Alabama,Saginaw,US-AL,US
Alabama,Saraland,US-AL,US
Alabama,Scottsboro,US-AL,US
Alabama,Selma,US-AL,US
Alabama,Semmes,US-AL,US
Alabama,Shannon,US-AL,US
Alabama,Sheffield,US-AL,US
Alabama,Shelby,US-AL,US
Alabama,Spanish Fort,US-AL,US
Alabama,Springville,US-AL,US
Alabama,Sulligent,US-AL,US
Alabama,Sumiton,US-AL,US
Alabama,Summerdale,US-AL,US
Alabama,Sycamore,US-AL,US
Alabama,Sylacauga,US-AL,US
Alabama,Talladega,US-AL,US
Alabama,Tallassee,US-AL,US
Alabama,Theodore,US-AL,US
Alabama,Thomasville,US-AL,US
Alabama,Toney,US-AL,US
Alabama,Troy,US-AL,US
Alabama,Trussville,US-AL,US
Alabama,Tuscaloosa,US-AL,US
Alabama,Tuscumbia,US-AL,US
Alabama,Tuskegee,US-AL,US
Alabama,Tuskegee Institute,US-AL,US
Alabama,Union Springs,US-AL,US
Alabama,Valley,US-AL,US
Alabama,Vernon,US-AL,US
Alabama,Vinemont,US-AL,US
Alabama,Wadley,US-AL,US
Alabama,Walnut Grove,US-AL,US
Alabama,Warrior,US-AL,US
Alabama,Webb,US-AL,US
Alabama,Wedowee,US-AL,US
Alabama,Wetumpka,US-AL,US
Alabama,Winfield,US-AL,US
Alabama,York,US-AL,US
Alaska,Anchorage,US-AK,US
Alaska,Anderson,US-AK,US
Alaska,Angoon,US-AK,US
Alaska,Atqasuk,US-AK,US
Alaska,Barrow,US-AK,US
Alaska,Bethel,US-AK,US
Alaska,Clear,US-AK,US
Alaska,Cordova,US-AK,US
Alaska,Craig,US-AK,US
Alaska,Delta Junction,US-AK,US
Alaska,Dillingham,US-AK,US
Alaska,Eagle River,US-AK,US
Alaska,Eielson Afb,US-AK,US
Alaska,Elmendorf Afb,US-AK,US
Alaska,Fairbanks,US-AK,US
Alaska,Galena,US-AK,US
Alaska,Girdwood,US-AK,US
Alaska,Glennallen,US-AK,US
Alaska,Gustavus,US-AK,US
Alaska,Haines,US-AK,US
Alaska,Healy,US-AK,US
Alaska,Homer,US-AK,US
Alaska,Hoonah,US-AK,US
Alaska,Juneau,US-AK,US
Alaska,Kenai,US-AK,US
Alaska,Ketchikan,US-AK,US
Alaska,Klawock,US-AK,US
Alaska,Kodiak,US-AK,US
Alaska,Kotzebue,US-AK,US
Alaska,Mc Grath,US-AK,US
Alaska,Metlakatla,US-AK,US
Alaska,Mountain Village,US-AK,US
Alaska,Nikiski,US-AK,US
Alaska,Nome,US-AK,US
Alaska,North Pole,US-AK,US
Alaska,Palmer,US-AK,US
Alaska,Pelican,US-AK,US
Alaska,Petersburg,US-AK,US
Alaska,Port Lions,US-AK,US
Alaska,Seward,US-AK,US
Alaska,Sitka,US-AK,US
Alaska,Skagway,US-AK,US
Alaska,Soldotna,US-AK,US
Alaska,St Paul Island,US-AK,US
Alaska,Tanacross,US-AK,US
Alaska,Thorne Bay,US-AK,US
Alaska,Tok,US-AK,US
Alaska,Tununak,US-AK,US
Alaska,Unalaska,US-AK,US
Alaska,Valdez,US-AK,US
Alaska,Wasilla,US-AK,US
Alaska,Whittier,US-AK,US
Alaska,Wrangell,US-AK,US
Alaska,Yakutat,US-AK,US
Arizona,Ajo,US-AZ,US
Arizona,Alpine,US-AZ,US
Arizona,Amado,US-AZ,US
Arizona,Apache Junction,US-AZ,US
Arizona,Arizona City,US-AZ,US
Arizona,Ash Fork,US-AZ,US
Arizona,Avondale,US-AZ,US
Arizona,Benson,US-AZ,US
Arizona,Bisbee,US-AZ,US
Arizona,Buckeye,US-AZ,US
Arizona,Bullhead City,US-AZ,US
Arizona,Camp Verde,US-AZ,US
Arizona,Carefree,US-AZ,US
Arizona,Casa Grande,US-AZ,US
Arizona,Catalina,US-AZ,US
Arizona,Cave Creek,US-AZ,US
Arizona,Central,US-AZ,US
Arizona,Chandler,US-AZ,US
Arizona,Chinle,US-AZ,US
Arizona,Chino Valley,US-AZ,US
Arizona,Clarkdale,US-AZ,US
Arizona,Clifton,US-AZ,US
Arizona,Cochise,US-AZ,US
Arizona,Colorado City,US-AZ,US
Arizona,Congress,US-AZ,US
Arizona,Coolidge,US-AZ,US
Arizona,Cortaro,US-AZ,US
Arizona,Cottonwood,US-AZ,US
Arizona,Dateland,US-AZ,US
Arizona,Dewey,US-AZ,US
Arizona,Douglas,US-AZ,US
Arizona,Duncan,US-AZ,US
Arizona,Ehrenberg,US-AZ,US
Arizona,El Mirage,US-AZ,US
