"id","metrocode","countrycode","regionname","targetable","regionid","metroname","regioncode","countryname","cityname","countryid"
"1000142","","AU","Australian Capital Territory","true","20034","","AU-ACT","Australia","Canberra","2036"
"1000144","","AU","Victoria","true","20040","","AU-VIC","Australia","Barwon","2036"
"1000148","","AU","New South Wales","true","20035","","AU-NSW","Australia","Albury","2036"
"1000149","","AU","New South Wales","true","20035","","AU-NSW","Australia","Armidale","2036"
"1000152","","AU","New South Wales","true","20035","","AU-NSW","Australia","Ballina","2036"
"1000156","","AU","New South Wales","true","20035","","AU-NSW","Australia","Batemans Bay","2036"
"1000157","","AU","New South Wales","true","20035","","AU-NSW","Australia","Bathurst","2036"
"1000170","","AU","New South Wales","true","20035","","AU-NSW","Australia","Broken Hill","2036"
"1000173","","AU","New South Wales","true","20035","","AU-NSW","Australia","Cessnock","2036"
"1000184","","AU","New South Wales","true","20035","","AU-NSW","Australia","Coffs Harbour","2036"
"1000200","","AU","New South Wales","true","20035","","AU-NSW","Australia","Dubbo","2036"
"1000211","","AU","New South Wales","true","20035","","AU-NSW","Australia","Goulburn","2036"
"1000212","","AU","New South Wales","true","20035","","AU-NSW","Australia","Grafton","2036"
"1000213","","AU","New South Wales","true","20035","","AU-NSW","Australia","Griffith","2036"
"1000225","","AU","New South Wales","true","20035","","AU-NSW","Australia","Kiama","2036"
"1000226","","AU","Queensland","true","20037","","AU-QLD","Australia","Victoria Point","2036"
"1000227","","AU","New South Wales","true","20035","","AU-NSW","Australia","Katoomba","2036"
"1000233","","AU","New South Wales","true","20035","","AU-NSW","Australia","Lismore","2036"
"1000234","","AU","New South Wales","true","20035","","AU-NSW","Australia","Lithgow","2036"
"1000236","","AU","New South Wales","true","20035","","AU-NSW","Australia","Maitland","2036"
"1000246","","AU","Victoria","true","20040","","AU-VIC","Australia","Craigieburn","2036"
"1000250","","AU","New South Wales","true","20035","","AU-NSW","Australia","Muswellbrook","2036"
"1000255","","AU","New South Wales","true","20035","","AU-NSW","Australia","Newcastle","2036"
"1000259","","AU","New South Wales","true","20035","","AU-NSW","Australia","Nowra","2036"
"1000262","","AU","New South Wales","true","20035","","AU-NSW","Australia","Orange","2036"
"1000264","","AU","New South Wales","true","20035","","AU-NSW","Australia","Parkes","2036"
"1000269","","AU","New South Wales","true","20035","","AU-NSW","Australia","Port Macquarie","2036"
"1000274","","AU","New South Wales","true","20035","","AU-NSW","Australia","Raymond Terrace","2036"
"1000278","","AU","New South Wales","true","20035","","AU-NSW","Australia","Richmond","2036"
"1000281","","AU","New South Wales","true","20035","","AU-NSW","Australia","Sawtell","2036"
"1000284","","AU","New South Wales","true","20035","","AU-NSW","Australia","Singleton","2036"
"1000286","","AU","New South Wales","true","20035","","AU-NSW","Australia","Sydney","2036"
"1000287","","AU","New South Wales","true","20035","","AU-NSW","Australia","Tamworth","2036"
"1000288","","AU","New South Wales","true","20035","","AU-NSW","Australia","Taree","2036"
"1000304","","AU","New South Wales","true","20035","","AU-NSW","Australia","Wagga Wagga","2036"
"1000314","","AU","New South Wales","true","20035","","AU-NSW","Australia","Wollongong","2036"
"1000320","","AU","Northern Territory","true","20036","","AU-NT","Australia","Alice Springs","2036"
"1000322","","AU","Northern Territory","true","20036","","AU-NT","Australia","Darwin","2036"
"1000336","","AU","Queensland","true","20037","","AU-QLD","Australia","Bongaree","2036"
"1000339","","AU","Queensland","true","20037","","AU-QLD","Australia","Brisbane","2036"
"1000341","","AU","Queensland","true","20037","","AU-QLD","Australia","Buderim","2036"
"1000342","","AU","Queensland","true","20037","","AU-QLD","Australia","Bundaberg","2036"
"1000346","","AU","Queensland","true","20037","","AU-QLD","Australia","Caboolture","2036"
"1000347","","AU","Queensland","true","20037","","AU-QLD","Australia","Cairns","2036"
"1000348","","AU","Queensland","true","20037","","AU-QLD","Australia","Caloundra","2036"
"1000358","","AU","Queensland","true","20037","","AU-QLD","Australia","Dalby","2036"
"1000364","","AU","Queensland","true","20037","","AU-QLD","Australia","Gladstone","2036"
"1000366","","AU","Queensland","true","20037","","AU-QLD","Australia","Gympie","2036"
"1000376","","AU","Tasmania","true","20039","","AU-TAS","Australia","Kingston","2036"
"1000377","","AU","Queensland","true","20037","","AU-QLD","Australia","Kawana Waters","2036"
"1000380","","AU","Queensland","true","20037","","AU-QLD","Australia","Mackay","2036"
"1000382","","AU","Queensland","true","20037","","AU-QLD","Australia","Maroochydore","2036"
"1000383","","AU","Queensland","true","20037","","AU-QLD","Australia","Maryborough","2036"
"1000388","","AU","Queensland","true","20037","","AU-QLD","Australia","Mount Isa","2036"
"1000390","","AU","Queensland","true","20037","","AU-QLD","Australia","Nambour","2036"
"1000392","","AU","Queensland","true","20037","","AU-QLD","Australia","Nerang","2036"
"1000401","","AU","Queensland","true","20037","","AU-QLD","Australia","Redcliffe","2036"
"1000404","","AU","Queensland","true","20037","","AU-QLD","Australia","Rockhampton","2036"
"1000412","","AU","Queensland","true","20037","","AU-QLD","Australia","Toowoomba","2036"
"1000414","","AU","Queensland","true","20037","","AU-QLD","Australia","Townsville","2036"
"1000415","","AU","Queensland","true","20037","","AU-QLD","Australia","Warwick","2036"
"1000422","","AU","South Australia","true","20038","","AU-SA","Australia","Adelaide","2036"
"1000438","","AU","South Australia","true","20038","","AU-SA","Australia","Gawler","2036"
"1000449","","AU","South Australia","true","20038","","AU-SA","Australia","Mount Gambier","2036"
"1000450","","AU","South Australia","true","20038","","AU-SA","Australia","Murray Bridge","2036"
"1000456","","AU","South Australia","true","20038","","AU-SA","Australia","Port Augusta","2036"
"1000457","","AU","South Australia","true","20038","","AU-SA","Australia","Port Lincoln","2036"
"1000458","","AU","South Australia","true","20038","","AU-SA","Australia","Port Pirie","2036"
"1000469","","AU","South Australia","true","20038","","AU-SA","Australia","Whyalla","2036"
"1000476","","AU","Tasmania","true","20039","","AU-TAS","Australia","Burnie","2036"
"1000479","","AU","Tasmania","true","20039","","AU-TAS","Australia","Devonport","2036"
"1000480","","AU","Tasmania","true","20039","","AU-TAS","Australia","Hobart","2036"
"1000481","","AU","Tasmania","true","20039","","AU-TAS","Australia","Launceston","2036"
"1000485","","AU","Tasmania","true","20039","","AU-TAS","Australia","Ulverstone","2036"
"1000490","","AU","Victoria","true","20040","","AU-VIC","Australia","Bacchus Marsh","2036"
"1000491","","AU","Victoria","true","20040","","AU-VIC","Australia","Bairnsdale","2036"
"1000492","","AU","Victoria","true","20040","","AU-VIC","Australia","Ballarat","2036"
"1000498","","AU","Victoria","true","20040","","AU-VIC","Australia","Bendigo","2036"
"1000521","","AU","Victoria","true","20040","","AU-VIC","Australia","Cranbourne","2036"
"1000530","","AU","Victoria","true","20040","","AU-VIC","Australia","Echuca","2036"
"1000537","","AU","Victoria","true","20040","","AU-VIC","Australia","Geelong","2036"
"1000549","","AU","Victoria","true","20040","","AU-VIC","Australia","Horsham","2036"
"1000550","","AU","Northern Territory","true","20036","","AU-NT","Australia","Palmerston","2036"
"1000567","","AU","Victoria","true","20040","","AU-VIC","Australia","Melbourne","2036"
"1000568","","AU","Victoria","true","20040","","AU-VIC","Australia","Melton","2036"
"1000571","","AU","Victoria","true","20040","","AU-VIC","Australia","Mildura","2036"
"1000572","","AU","Victoria","true","20040","","AU-VIC","Australia","Moe","2036"
"1000576","","AU","Victoria","true","20040","","AU-VIC","Australia","Morwell","2036"
"1000588","","AU","Victoria","true","20040","","AU-VIC","Australia","Colac","2036"
"1000590","","AU","Victoria","true","20040","","AU-VIC","Australia","Pakenham","2036"
"1000593","","AU","Victoria","true","20040","","AU-VIC","Australia","Portland","2036"
"1000594","","AU","New South Wales","true","20035","","AU-NSW","Australia","Central Coast","2036"
"1000599","","AU","New South Wales","true","20035","","AU-NSW","Australia","Casino","2036"
"1000602","","AU","Victoria","true","20040","","AU-VIC","Australia","Sale","2036"
"1000605","","AU","Victoria","true","20040","","AU-VIC","Australia","Shepparton","2036"
"1000609","","AU","Victoria","true","20040","","AU-VIC","Australia","Sunbury","2036"
"1000614","","AU","Victoria","true","20040","","AU-VIC","Australia","Traralgon","2036"
"1000616","","AU","Victoria","true","20040","","AU-VIC","Australia","Wangaratta","2036"
"1000620","","AU","Victoria","true","20040","","AU-VIC","Australia","Warrnambool","2036"
"1000630","","AU","Western Australia","true","20041","","AU-WA","Australia","Albany","2036"
"1000635","","AU","Western Australia","true","20041","","AU-WA","Australia","Broome","2036"
"1000636","","AU","Western Australia","true","20041","","AU-WA","Australia","Bunbury","2036"
